other,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,VIN
2014 Ford FUSION SE||more ads  by this user        |,excellent,4 cylinders,,gas,25098,,,clean,automatic,sedan,1FA6P0H71E5405372
2011 Chevrolet HHR,excellent,,fwd,gas,170968,silver,,clean,automatic,mini-van,3GNBAAFW4BS642716
2013 Cadillac ATS,excellent,,4wd,gas,113550,black,,clean,automatic,sedan,1G6AH5RX7D0173324
2014 Ford Fusion,excellent,,,gas,189041,red,,clean,automatic,sedan,3FA6P0HD8ER390226
2008 Jeep Wrangler,excellent,,4wd,gas,169475,,,clean,automatic,SUV,1J4GA59158L562811
2008 Chevrolet Silverado 1500,excellent,,4wd,gas,218565,black,,clean,automatic,pickup,3GCEK13308G308837
2021 Chevrolet Equinox,excellent,4 cylinders,fwd,gas,36196,black,mid-size,clean,automatic,SUV,3GNAXKEV2ML303295
2004 2004 Ford F150. XLT Lariat,fair,8 cylinders,rwd,gas,95000,,,clean,automatic,pickup,
2002 chevrolet camaro z28,good,8 cylinders,4wd,gas,76000,black,,clean,manual,coupe,
2000 Subaru forester,fair,4 cylinders,4wd,gas,186279,red,mid-size,clean,automatic,wagon,
2007 chrysler 300c hemi,excellent,8 cylinders,rwd,gas,86000,red,full-size,clean,automatic,sedan,
2003 Ford f250,like new,8 cylinders,4wd,diesel,300000,brown,full-size,clean,automatic,truck,
1998 1998 Lumina LS,fair,6 cylinders,,gas,105000,black,,clean,automatic,sedan,
2017 toyota corolla le,excellent,4 cylinders,fwd,gas,60000,grey,compact,clean,automatic,sedan,
2021 Buick Encore GX,excellent,3 cylinders,fwd,gas,21627,black,compact,clean,automatic,SUV,KL4MMDSL6MB065878
1987 Ford f350,fair,,,gas,97000,,,clean,manual,,
2015 chrysler 200,excellent,6 cylinders,fwd,gas,99000,grey,full-size,rebuilt,automatic,sedan,1C3CCCCG5FN527062
2007 Toyota Tundra Double Cab 4WD,good,8 cylinders,4wd,gas,242000,,,clean,automatic,pickup,
2002 Ford Thunderbird,excellent,8 cylinders,rwd,gas,38082,blue,mid-size,clean,automatic,convertible,1FAHP60A12Y116571
2003 mazda miata mx-5,,,,gas,50000,,,clean,automatic,,
1991 mazda miata mx-5,good,4 cylinders,rwd,gas,100000,green,compact,clean,manual,convertible,
2011 chevrolet impala||more ads  by this user        |,excellent,6 cylinders,fwd,gas,115470,black,full-size,clean,automatic,truck,
