condition,price,ended,vin,make,model,ebay_item_id,winning_bid
used,"US $29,900.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 15, 2023|11:09:30 PD",5YJSA1E20GF129888,Tesla,Sedan D90/AWD,285146032455,
used,"US $24,850.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 25, 2023|10:22:14 PD",5YJSA1DP2CFP01910,Tesla,,155462110631,
used,"US $22,950.0","Feb 25, 2023|20:05:16 PS",5YJSA1S17FFP68828,Tesla,,225404488495,
used,"US $79,000.0","Mar 02, 2023|14:56:52 PS",5YJSA1E50NF489377,Tesla,,314437843850,
used,,"Mar 28, 2023|13:05:52 PD",ZACNJBAB1KPJ92179,Jeep,,295573638498,"US $12,600.0"
used,,"Apr 06, 2023|18:02:44 PD",1C4RJFBG1MC542844,Jeep,,295596216262,"US $24,600.0"
used,"US $34,980.0","Mar 21, 2023|15:11:48 PD",5YJ3E1EB3JF134437,Tesla,,385487085923,
used,"US $105,000.0","Mar 14, 2023|10:08:29 PD",5YJSA1E67MF452110,Tesla,,134478059034,
used,"US $49,900.0","Apr 01, 2023|01:21:56 PD",5YJXCAE23GF011821|5YJXCAE23GF011821,Tesla,,266193637235,
used,"US $37,950.0","Apr 22, 2023|09:06:12 PD",5YJ3E1EB5JF083197,Tesla,,285240391534,
used,"US $54,800.0","Feb 25, 2023|19:50:40 PS",5YJ3E1EB2NF192934,Tesla,,115714774529,
used,"US $34,800.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 01, 2023|09:22:27 PS",5YJ3E1EB5JF115131,Tesla,,295546033298,
used,"US $29,000.0","Mar 01, 2023|11:45:42 PS",5YJSA1AG3DFP09200,Tesla,,185796738108,
used,"US $36,350.0","Apr 30, 2023|19:31:45 PD",5YJ3E1EBXJF146102,Tesla,,285262012853,
used,"US $10,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 21, 2023|13:04:47 PD",7662141,Ford,,144971626244,
used,"US $23,900.0","Apr 15, 2023|13:50:14 PD",5YJ3E1EA0MF086648,Tesla,Standard Range Plus Full Self Drive Package Paid,166032972865,
used,"US $35,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 01, 2023|11:57:23 PS",5YJ3E1EB2NF131454,Tesla,Long Range Dual Motor AWD Loaded,255971484557,
used,"US $30,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 21, 2023|18:45:53 PD",5YJ3E1EA0LF739087,Tesla,,185803924217,
used,"US $29,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 02, 2023|08:11:46 PD",5YJ3E1EA2KF313464,Tesla,,165995403140,
used,"US $32,250.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 12, 2023|04:27:28 PD",5YJ3E1EA3KF317362,Tesla,,304886613867,
used,"US $31,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Feb 24, 2023|05:16:05 PS",5YJ3E1EA0LF739087,Tesla,,185786313533,
used,"US $28,990.0","Mar 24, 2023|14:08:26 PD",5YJ3E1EA0LF645338,Tesla,,185809363684,
used,"US $31,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Feb 25, 2023|11:32:58 PS",5YJ3E1EB9KF526629,Tesla,,255991931176,
used,,,JHMZC5F1XJC012506,HONDA,,385275488201,
used,,,JHMZC5F30KC003820,HONDA,,134414434738,
used,,,JHMZC5F1XJC019505,HONDA,,385274431013,
used,,,JHMZC5F19JC001710,HONDA,,374598622086,
used,,,JHMZC5F1XJC019505,HONDA,,145038230041,
used,,,JHMZC5F1XJC019505,HONDA,,385275068901,
used,,,JHMZC5F19JC001710,HONDA,,374598694756,
used,,,JHMZC5F13JC013741,HONDA,,385603103143,
used,,,JHMZC5F1XJC019505,HONDA,,144840802213,
used,,,JHMZC5F1XJC019505,HONDA,,144840773952,
used,,,JHMZC5F31JC000987,HONDA,,385274633021,
used,,,JHMZC5F15JC021162,HONDA,,165610063572,
used,,,JHMZC5F13JC013741,HONDA,,144840991215,
used,,,JHMZC5F38JC019035,HONDA,,295638655561,
used,,,JHMZC5F13JC013741,HONDA,,144918160695,
used,,,JHMZC5F39JC015382,HONDA,,204019096825,
used,,,JHMZC5F11JC014869,HONDA,,354725915158,
used,,,JHMZC5F34JC010560,HONDA,,374484448815,
used,,,JHMZC5F34JC010560,HONDA,,394439266794,
used,,,1N4AZ0CP8DC413359,Nissan,,354755990549,
used,,,1N4AZ0CP8DC416889,Nissan,,125926154198,
